sleep_schedule_diff,wakeup_schedule_diff,cleanliness_diff,study_hours_diff,noise_tolerance_diff,room_temperature_diff,social_energy_diff,spending_habit_diff,guest_frequency_diff,gaming_time_diff,food_preference_similarity,music_preference_similarity,study_style_similarity,communication_style_similarity,organization_similarity,workout_routine_similarity,hobby_similarity,academic_goal_similarity,room_usage_similarity,weekend_activity_similarity,gamer_vs_light_sleeper,extrovert_vs_introvert_conflict,messy_vs_clean_conflict,nightowl_vs_earlybird_conflict,loud_music_vs_noise_sensitive,guest_heavy_vs_private_person,high_spender_vs_budget_person,group_study_vs_solo_study,fitness_focused_vs_irregular,emotional_expressive_vs_reserved,compatibility_score,compatibility_label
0.46,0.45,0.38,0.55,0.63,0.44,0.80,0.28,0.30,0.12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,71.71,4
0.17,0.31,0.54,0.31,0.40,0.74,0.48,0.22,0.44,0.58,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,85.75,5
0.25,0.40,0.25,0.19,0.53,0.26,0.65,0.71,0.39,0.30,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,28.11,2
0.36,0.52,0.86,0.39,0.57,0.37,0.15,0.40,0.21,0.37,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,68.87,4
0.78,0.25,0.79,0.58,0.86,0.35,0.65,0.39,0.02,0.36,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,15.89,1
0.57,0.24,0.54,0.25,0.53,0.13,0.22,0.31,0.42,0.12,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,98.10,5
0.52,0.39,0.60,0.07,0.31,0.08,0.47,0.30,0.78,0.47,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,75.52,4
0.65,0.56,0.21,0.62,0.68,0.18,0.56,0.39,0.35,0.03,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,24.66,2
0.76,0.39,0.51,0.16,0.65,0.22,0.33,0.33,0.10,0.25,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,52.92,3
0.30,0.42,0.66,0.18,0.77,0.11,0.30,0.76,0.22,0.22,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,35.77,2
0.19,0.61,0.55,0.62,0.20,0.36,0.54,0.38,0.19,0.31,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,60.12,4
0.24,0.50,0.65,0.37,0.60,0.31,0.62,0.34,0.62,0.59,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,16.80,1
0.47,0.29,0.74,0.30,0.12,0.48,0.21,0.21,0.17,0.52,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,62.79,4
0.44,0.65,0.48,0.16,0.40,0.03,0.56,0.09,0.14,0.02,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,97.62,5
0.35,0.57,0.83,0.21,0.44,0.72,0.70,0.48,0.13,0.43,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,16.71,1
0.78,0.80,0.62,0.26,0.06,0.13,0.71,0.15,0.65,0.20,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,49.30,3
0.69,0.72,0.73,0.43,0.78,0.41,0.48,0.25,0.77,0.34,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,36.18,2
0.50,0.55,0.28,0.48,0.93,0.33,0.78,0.57,0.59,0.25,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0.00,1
0.60,0.15,0.17,0.90,0.46,0.29,0.75,0.44,0.52,0.12,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,59.60,3
0.46,0.71,0.45,0.45,0.46,0.19,0.33,0.04,0.16,0.05,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,22.91,2
0.41,0.87,0.85,0.52,0.56,0.21,0.46,0.17,0.45,0.29,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,40.78,3
0.40,0.63,0.47,0.41,0.32,0.49,0.25,0.52,0.47,0.56,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,46.17,3
0.12,0.24,0.82,0.08,0.79,0.16,0.61,0.26,0.46,0.61,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,56.22,3
0.27,0.07,0.66,0.83,0.14,0.15,0.36,0.28,0.44,0.61,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,44.67,3
0.87,0.30,0.71,0.35,0.50,0.17,0.81,0.33,0.79,0.52,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,27.72,2
0.35,0.55,0.67,0.23,0.43,0.23,0.71,0.53,0.52,0.27,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,65.58,4
0.30,0.75,0.57,0.35,0.60,0.31,0.67,0.23,0.59,0.11,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,71.01,4
0.39,0.72,0.35,0.68,0.62,0.58,0.55,0.05,0.17,0.18,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,50.30,3
0.30,0.23,0.61,0.35,0.46,0.12,0.55,0.32,0.49,0.66,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,63.45,4
0.51,0.89,0.22,0.12,0.53,0.27,0.65,0.54,0.51,0.45,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,84.43,5
0.25,0.30,0.59,0.64,0.72,0.10,0.76,0.64,0.38,0.45,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0.00,1
0.18,0.53,0.85,0.34,0.79,0.24,0.19,0.76,0.71,0.29,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,60.83,4
0.60,0.42,0.65,0.12,0.45,0.32,0.50,0.55,0.39,0.13,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,33.77,2
0.29,0.26,0.36,0.49,0.54,0.19,0.53,0.77,0.15,0.03,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,22.72,2
0.72,0.74,0.70,0.13,0.24,0.48,0.74,0.46,0.35,0.24,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,13.53,1
0.22,0.51,0.50,0.70,0.53,0.12,0.62,0.28,0.17,0.29,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,77.88,4
0.14,0.38,0.35,0.02,0.17,0.04,0.07,0.36,0.39,0.13,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,84.46,5
0.73,0.31,0.34,0.19,0.41,0.26,0.68,0.18,0.22,0.67,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,72.05,4
0.42,0.37,0.86,0.24,0.37,0.24,0.23,0.26,0.21,0.42,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0.00,1
0.49,0.60,0.16,0.34,0.37,0.36,0.27,0.65,0.44,0.51,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,82.82,5
0.41,0.41,0.23,0.19,0.66,0.39,0.86,0.24,0.34,0.38,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,74.88,4
0.52,0.38,0.67,0.06,0.17,0.06,0.15,0.19,0.36,0.60,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,34.02,2
0.67,0.70,0.36,0.09,0.68,0.36,0.57,0.40,0.12,0.30,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0.16,1
0.58,0.50,0.59,0.06,0.83,0.09,0.59,0.27,0.52,0.22,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,62.25,4
0.64,0.32,0.18,0.27,0.49,0.14,0.49,0.03,0.34,0.55,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,73.62,4
0.68,0.36,0.43,0.58,0.86,0.36,0.75,0.24,0.12,0.05,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,50.50,3
0.61,0.62,0.68,0.15,0.31,0.13,0.75,0.28,0.52,0.47,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0.00,1
0.40,0.34,0.44,0.33,0.57,0.24,0.38,0.06,0.32,0.39,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,74.28,4
0.64,0.79,0.68,0.36,0.73,0.26,0.11,0.44,0.51,0.02,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,55.60,3
0.24,0.42,0.42,0.74,0.92,0.23,0.18,0.62,0.48,0.57,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,26.31,2
0.50,0.49,0.39,0.59,0.85,0.35,0.70,0.47,0.64,0.34,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,43.40,3
0.45,0.31,0.49,0.32,0.38,0.22,0.28,0.19,0.62,0.32,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,60.68,4
0.78,0.27,0.31,0.24,0.60,0.08,0.43,0.25,0.37,0.22,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,36.66,2
0.14,0.56,0.89,0.16,0.89,0.02,0.41,0.65,0.09,0.62,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,44.78,3
0.69,0.39,0.77,0.14,0.37,0.38,0.85,0.38,0.14,0.41,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,71.68,4
0.34,0.27,0.54,0.23,0.35,0.05,0.34,0.36,0.02,0.76,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,71.62,4
0.35,0.50,0.90,0.83,0.55,0.20,0.82,0.57,0.47,0.05,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,20.74,2
0.06,0.53,0.60,0.22,0.79,0.09,0.50,0.47,0.15,0.60,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,64.23,4
0.31,0.34,0.68,0.30,0.51,0.50,0.12,0.34,0.13,0.46,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,60.49,4
0.47,0.76,0.59,0.16,0.49,0.56,0.32,0.33,0.44,0.44,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,33.91,2
0.28,0.44,0.82,0.65,0.70,0.43,0.69,0.36,0.36,0.08,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0.00,1
0.27,0.59,0.21,0.15,0.67,0.30,0.76,0.46,0.40,0.07,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,53.94,3
0.29,0.74,0.37,0.39,0.76,0.11,0.13,0.94,0.31,0.05,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6.04,1
0.14,0.78,0.33,0.33,0.37,0.44,0.49,0.12,0.18,0.44,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,71.02,4
0.16,0.34,0.41,0.60,0.23,0.04,0.37,0.87,0.12,0.00,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,42.11,3
0.28,0.60,0.32,0.40,0.45,0.36,0.78,0.81,0.09,0.66,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,56.70,3
0.03,0.47,0.55,0.08,0.57,0.41,0.56,0.26,0.55,0.12,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,49.80,3
0.71,0.59,0.62,0.55,0.72,0.20,0.21,0.65,0.16,0.31,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,30.94,2
0.28,0.53,0.31,0.30,0.74,0.19,0.36,0.78,0.21,0.07,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,100.00,5
0.65,0.82,0.69,0.19,0.53,0.51,0.40,0.33,0.68,0.47,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,50.94,3
0.80,0.16,0.50,0.31,0.07,0.47,0.58,0.29,0.60,0.08,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,14.00,1
0.21,0.27,0.41,0.16,0.86,0.04,0.42,0.49,0.33,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,74.28,4
0.45,0.57,0.49,0.30,0.09,0.19,0.72,0.19,0.43,0.54,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,48.13,3
0.66,0.31,0.42,0.25,0.37,0.47,0.24,0.39,0.35,0.02,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,49.03,3
0.14,0.62,0.59,0.41,0.49,0.13,0.57,0.20,0.25,0.72,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,47.66,3
0.10,0.48,0.58,0.17,0.60,0.53,0.49,0.27,0.10,0.48,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,63.80,4
0.61,0.27,0.32,0.28,0.82,0.51,0.84,0.17,0.29,0.12,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,70.67,4
0.49,0.13,0.16,0.31,0.54,0.11,0.64,0.09,0.36,0.17,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,65.66,4
0.34,0.17,0.85,0.23,0.47,0.19,0.48,0.66,0.53,0.35,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,66.24,4
0.42,0.35,0.48,0.53,0.86,0.15,0.41,0.41,0.24,0.21,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.44,1
0.37,0.68,0.67,0.55,0.37,0.51,0.44,0.08,0.44,0.44,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,43.88,3
0.57,0.56,0.06,0.25,0.43,0.06,0.79,0.31,0.19,0.05,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,43.93,3
0.37,0.34,0.21,0.17,0.44,0.08,0.31,0.16,0.18,0.48,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,79.84,4
0.63,0.40,0.22,0.13,0.60,0.14,0.77,0.48,0.05,0.10,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,77.90,4
0.40,0.28,0.47,0.22,0.30,0.40,0.65,0.59,0.24,0.48,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,82.50,5
0.40,0.55,0.62,0.20,0.35,0.31,0.29,0.36,0.34,0.26,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,76.59,4
0.29,0.63,0.79,0.20,0.54,0.50,0.22,0.19,0.62,0.06,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,39.15,2
0.96,0.36,0.93,0.55,0.44,0.10,0.73,0.14,0.58,0.12,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,40.67,3
0.11,0.49,0.43,0.20,0.38,0.12,0.26,0.14,0.29,0.23,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,98.60,5
0.27,0.31,0.32,0.25,0.62,0.14,0.14,0.80,0.25,0.12,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,56.20,3
0.46,0.47,0.27,0.17,0.43,0.20,0.62,0.45,0.17,0.48,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,83.54,5
0.42,0.70,0.35,0.39,0.35,0.11,0.24,0.23,0.33,0.45,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,77.38,4
0.28,0.55,0.70,0.48,0.27,0.18,0.54,0.68,0.46,0.65,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0.00,1
0.20,0.45,0.57,0.42,0.67,0.27,0.89,0.60,0.54,0.26,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,34.79,2
0.25,0.32,0.72,0.10,0.31,0.15,0.80,0.33,0.58,0.57,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,39.07,2
0.41,0.16,0.62,0.42,0.52,0.33,0.70,0.58,0.28,0.16,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,65.57,4
0.57,0.38,0.44,0.04,0.52,0.06,0.44,0.37,0.48,0.09,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,73.41,4
0.44,0.44,0.17,0.36,0.39,0.61,0.52,0.94,0.23,0.13,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,100.00,5
0.80,0.26,0.32,0.30,0.38,0.17,0.48,0.51,0.71,0.15,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,3.75,1
0.12,0.30,0.27,0.37,0.65,0.28,0.69,0.34,0.62,0.25,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,71.84,4
0.27,0.50,0.67,0.21,0.43,0.16,0.34,0.30,0.14,0.40,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,57.90,3
0.33,0.38,0.46,0.27,0.39,0.39,0.12,0.19,0.12,0.57,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,75.10,4
0.54,0.51,0.56,0.48,0.60,0.03,0.50,0.38,0.34,0.26,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,53.91,3
0.42,0.08,0.46,0.36,0.29,0.31,0.61,0.62,0.52,0.38,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,34.14,2
0.52,0.27,0.55,0.23,0.48,0.21,0.27,0.24,0.16,0.64,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,86.96,5
0.54,0.34,0.72,0.61,0.36,0.32,0.26,0.48,0.30,0.44,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,73.59,4
0.17,0.32,0.48,0.21,0.11,0.09,0.34,0.06,0.25,0.21,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,89.84,5
0.23,0.88,0.62,0.38,0.20,0.21,0.79,0.32,0.39,0.23,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,68.12,4
0.29,0.82,0.51,0.10,0.64,0.17,0.78,0.56,0.04,0.29,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,52.42,3
0.54,0.55,0.45,0.07,0.52,0.23,0.28,0.34,0.72,0.30,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,29.22,2
0.36,0.73,0.73,0.50,0.81,0.28,0.28,0.58,0.43,0.19,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,3.36,1
0.69,0.71,0.65,0.33,0.64,0.20,0.42,0.43,0.23,0.17,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,24.80,2
0.46,0.32,0.51,0.24,0.88,0.28,0.16,0.08,0.78,0.41,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,86.39,5
0.33,0.11,0.74,0.03,0.12,0.34,0.23,0.28,0.20,0.45,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,45.36,3
0.34,0.33,0.65,0.07,0.32,0.19,0.84,0.74,0.30,0.34,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,16.06,1
0.34,0.72,0.83,0.46,0.53,0.13,0.50,0.07,0.48,0.37,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0.00,1
0.51,0.32,0.56,0.28,0.76,0.19,0.30,0.54,0.34,0.08,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,27.66,2
0.56,0.28,0.78,0.34,0.57,0.18,0.55,0.28,0.18,0.70,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0.00,1
0.60,0.28,0.48,0.49,0.46,0.79,0.32,0.33,0.32,0.43,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,35.68,2
0.81,0.34,0.54,0.71,0.68,0.19,0.27,0.08,0.62,0.63,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,23.76,2
0.90,0.42,0.37,0.27,0.41,0.58,0.75,0.38,0.69,0.57,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0.00,1
0.30,0.35,0.87,0.53,0.71,0.53,0.49,0.35,0.06,0.14,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,42.69,3
0.50,0.81,0.40,0.72,0.15,0.06,0.28,0.37,0.27,0.20,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,56.74,3
0.44,0.44,0.50,0.33,0.37,0.12,0.32,0.41,0.45,0.40,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,55.67,3
0.72,0.39,0.28,0.61,0.51,0.25,0.58,0.59,0.08,0.48,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,35.49,2
0.59,0.61,0.27,0.09,0.81,0.19,0.44,0.32,0.79,0.15,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,73.53,4
0.36,0.80,0.64,0.53,0.10,0.10,0.50,0.55,0.67,0.49,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,61.30,4
0.54,0.58,0.35,0.49,0.50,0.14,0.50,0.21,0.77,0.41,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0.00,1
0.59,0.59,0.44,0.34,0.50,0.35,0.42,0.54,0.34,0.14,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,77.81,4
0.58,0.13,0.52,0.67,0.56,0.21,0.47,0.68,0.49,0.40,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,24.97,2
0.32,0.55,0.59,0.26,0.88,0.60,0.28,0.02,0.52,0.35,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,51.28,3
0.44,0.06,0.53,0.63,0.36,0.08,0.59,0.06,0.24,0.17,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,58.59,3
0.08,0.54,0.34,0.11,0.12,0.19,0.58,0.11,0.25,0.48,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,67.19,4
0.20,0.30,0.45,0.36,0.40,0.17,0.65,0.46,0.17,0.38,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,28.16,2
0.32,0.31,0.65,0.41,0.15,0.11,0.47,0.10,0.20,0.36,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,71.66,4
0.60,0.79,0.48,0.45,0.30,0.50,0.65,0.58,0.68,0.18,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,43.33,3
0.29,0.29,0.57,0.15,0.78,0.12,0.64,0.40,0.36,0.23,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,61.17,4
0.34,0.12,0.34,0.54,0.36,0.05,0.38,0.58,0.23,0.11,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,61.12,4
0.33,0.59,0.50,0.26,0.52,0.21,0.40,0.59,0.28,0.28,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,42.89,3
0.39,0.51,0.35,0.22,0.40,0.52,0.58,0.43,0.14,0.36,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,27.87,2
